"","YEAR","OCC","OCCSOC","STATEFIP","AGE","RACE","SEX","MARST","CITIZEN","INCTOT","REGION","IND","EducAttainment","Overeducation"
"1",2007,4760,"412031",48,48,1,1,4,1,40000,33,4880,3,1
"2",2007,1530,"1721YY",6,51,1,1,1,0,113000,42,9590,6,1
"3",2007,120,"113031",48,53,2,2,1,2,34000,33,6970,3,0
"4",2007,5000,"431011",27,49,1,2,1,0,45000,22,770,4,1
"5",2007,4040,"353011",49,35,1,2,1,0,6000,41,8680,3,1
"6",2007,4020,"352010",48,53,1,1,3,0,15000,33,8660,2,1
"7",2007,5510,"435021",18,40,1,1,1,0,40000,21,6380,2,0
"8",2007,9130,"533030",15,36,1,1,1,0,10100,42,6170,4,1
"9",2007,2300,"252010",24,61,2,2,5,3,10400,31,8470,3,0
"10",2007,3710,"331012",48,43,1,1,1,0,92080,33,9470,5,1
"11",2007,2430,"254021",36,29,1,2,1,2,36000,12,6770,5,NA
"12",2007,1820,"193030",26,29,1,1,1,0,60000,21,8090,6,NA
"13",2007,1020,"151030",51,50,1,1,1,0,101000,31,9590,5,NA
"14",2007,2100,"2310XX",37,50,1,2,1,0,54000,31,7270,7,0
"15",2007,3400,"292041",25,43,1,2,4,0,45300,11,8190,4,NA
"16",2007,2630,"271020",15,71,1,2,1,0,40200,42,7370,5,NA
"17",2007,6440,"472150",22,59,2,1,1,0,50000,33,770,2,NA
"18",2007,7310,"499021",15,60,5,1,1,0,110000,42,3680,3,NA
"19",2007,4700,"411011",13,28,1,2,2,2,40000,31,5570,3,1
"20",2007,6050,"4520XX",6,46,7,1,1,2,34000,42,170,1,0
"21",2007,2910,"274021",11,30,1,2,1,0,14800,31,8560,5,1
"22",2007,2300,"252010",29,22,1,2,1,0,15000,22,8470,3,0
"23",2007,5620,"435081",34,49,1,2,4,0,4200,12,4970,2,NA
"24",2007,5120,"433031",5,75,1,2,1,0,49600,33,4680,2,0
"25",2007,4760,"412031",13,27,1,1,1,0,7000,31,5380,1,0
"26",2007,4700,"411011",37,24,1,2,6,1,13900,31,5270,3,1
"27",2007,220,"119021",37,57,1,1,4,0,454000,31,770,5,1
"28",2007,9130,"533030",39,43,1,2,1,0,64000,21,6470,3,1
"29",2007,9640,"537064",27,25,1,2,6,3,9000,22,7580,2,1
"30",2007,5610,"435071",17,28,1,1,6,0,22670,21,6390,3,1
"31",2007,5230,"434041",39,52,1,2,1,0,10000,21,7590,2,0
